call_id,ticker,section,guidance_direction,hedging_intensity,qa_evasiveness,analyst_tone,surprise_mentions
1643351,NOW,prepared_remarks,,,NA,NA,
1643351,NOW,qa,,,,,
1673949,JWN,prepared_remarks,,,NA,NA,
1673949,JWN,qa,,,,,
1705101,CMS,prepared_remarks,,,NA,NA,
1705101,CMS,qa,,,,,
1705203,ITW,prepared_remarks,,,NA,NA,
1705203,ITW,qa,,,,,
1775350,EFX,prepared_remarks,,,NA,NA,
1775350,EFX,qa,,,,,
1782261,PFE,prepared_remarks,,,NA,NA,
1782261,PFE,qa,,,,,
1783486,DHI,prepared_remarks,,,NA,NA,
1783486,DHI,qa,,,,,
1788294,ANET,prepared_remarks,,,NA,NA,
1788294,ANET,qa,,,,,
1810124,CRM,prepared_remarks,,,NA,NA,
1810124,CRM,qa,,,,,
1844658,BG,prepared_remarks,,,NA,NA,
1844658,BG,qa,,,,,
1854423,CBRE,prepared_remarks,,,NA,NA,
1854423,CBRE,qa,,,,,
1885172,JBL,prepared_remarks,,,NA,NA,
1885172,JBL,qa,,,,,
1892911,RJF,prepared_remarks,,,NA,NA,
1892911,RJF,qa,,,,,
1917241,DE,prepared_remarks,,,NA,NA,
1917241,DE,qa,,,,,
1944952,PAYX,prepared_remarks,,,NA,NA,
1944952,PAYX,qa,,,,,
1957891,TER,prepared_remarks,,,NA,NA,
1957891,TER,qa,,,,,
1959104,EIX,qa,,,,,
1963761,BXP,prepared_remarks,,,NA,NA,
1963761,BXP,qa,,,,,
1977732,TRIP,prepared_remarks,,,NA,NA,
1977732,TRIP,qa,,,,,
2043239,ALGN,prepared_remarks,,,NA,NA,
2043239,ALGN,qa,,,,,
