call_id,decode_ok,codec,sample_rate,channels,bit_rate,duration_sec,peak_dbfs,rms_dbfs,clip_ratio,silence_ratio,reason
430133280,True,mp3,16000,1,24000,3754.008,-0.085987,-23.928159,1.664887235189696e-08,0.16528214058147986,
436857631,True,mp3,16000,1,24000,5265.432,0.285223,-20.759909,1.1869871266023376e-08,0.18713165377503688,
437094698,True,mp3,44100,1,64001,3777.999433,2.003266,-12.717677,6.002048799357661e-09,0.12496721277300414,
437328595,True,mp3,16000,1,24001,2603.016,-1.290901,-28.281005,0.0,0.1686615683499448,
437395404,True,mp3,16000,1,24000,3692.556,0.238443,-27.6331,1.692594506352781e-08,0.2240060464892069,
437438945,True,mp3,44100,1,64002,1513.026372,-4.953082,-29.927693,0.0,0.17980364852490488,
437444632,True,mp3,44100,1,64001,2270.681882,-1.625654,-30.476755,0.0,0.21284552972004558,
437643018,True,mp3,44100,1,64001,2659.645147,-2.865553,-25.384673,0.0,0.14015347063139622,
437695776,True,mp3,16000,1,24000,3756.06,-5.509551,-29.740037,0.0,0.1722649632859965,
437763254,True,mp3,44100,1,64001,3475.005147,-6.080051,-26.933178,0.0,0.19095311860843125,
438063010,True,mp3,16000,1,24002,1676.736,0.994506,-21.319464,3.7274800564907055e-08,0.17683714311614945,
438282711,True,mp3,44100,1,64000,5283.253311,-1.191808,-23.140724,0.0,0.20908486740548032,
438606467,True,mp3,44100,1,64000,4596.363515,-1.014024,-25.906686,0.0,0.15928480713301457,
441502101,True,mp3,44100,1,64002,1701.761066,-0.99655,-28.824455,0.0,0.1456936969317172,
441514131,True,mp3,44100,1,64001,2479.008413,0.396997,-21.621747,9.147099640847364e-09,0.09075764197497299,
441515294,True,mp3,44100,1,64000,4261.996168,-0.925682,-20.162666,0.0,0.1554326946546424,
441660275,True,mp3,16000,1,24001,3147.804,-0.231103,-26.662921,0.0,0.1396746871787443,
441674347,True,mp3,11025,1,16000,3958.125714,0.681777,-27.029533,2.2915630880150883e-08,0.24933501291010285,
441832346,True,mp3,44100,1,64001,3440.027188,0.130554,-23.017492,6.59173190234568e-09,0.17968046594403833,
441902014,True,mp3,16000,1,24000,3872.772,0.962149,-23.004538,1.613831126645204e-08,0.15421769652331713,
441905261,True,mp3,16000,1,24000,3631.104,2.249719,-24.308196,1.721239600958827e-08,0.17703187515422308,
441905781,True,mp3,44100,1,64001,3425.00678,-4.664339,-28.702244,0.0,0.196003955647644,
441906992,True,mp3,16000,1,24000,4720.644,1.4399,-24.280875,1.323971898749408e-08,0.0920063491337199,
441909927,True,mp3,16000,1,24001,3268.62,-1.05956,-23.473328,0.0,0.17236470926568398,
441913997,True,mp3,16000,1,24000,4417.56,-1.957249,-24.341405,0.0,0.15018896811814667,
441917254,True,mp3,44100,1,64000,5142.009229,-3.343195,-25.290586,0.0,0.13769410311573752,
